sweep,rounds,iterations_per_param,random_restarts,init_strategy,use_multi_metric,best_error,match_percent,matches,total_params,elapsed_s,timestamp
rounds_sweep,1,1000,1,random,True,0.6714844021910318,0.0,0,5,0.1262829303741455,1773769746.1467009
rounds_sweep,1,1000,2,random,True,0.6714844021910318,0.0,0,5,0.2560088634490967,1773769746.4034598
rounds_sweep,1,1000,3,random,True,0.6088057291075866,60.0,3,5,0.44797301292419434,1773769746.851816
rounds_sweep,1,1000,4,random,True,0.6088057291075866,60.0,3,5,0.5762877464294434,1773769747.4287877
rounds_sweep,1,1000,5,random,True,0.6088057291075866,60.0,3,5,0.8559966087341309,1773769748.2851796
iters_sweep,5,500,5,random,True,0.5897006083721631,0.0,0,5,231.46756386756897,1773769979.7533875
iters_sweep,5,1000,5,random,True,0.6216340086920579,0.0,0,5,450.51271891593933,1773770430.2790003
iters_sweep,5,1500,5,random,True,0.6133658633244635,0.0,0,5,662.8612625598907,1773771093.1630998
iters_sweep,5,2000,5,random,True,0.6044541665304943,20.0,1,5,888.2132136821747,1773771981.409722
iters_sweep,5,2500,5,random,True,0.604460623928134,20.0,1,5,1094.6535737514496,1773773076.1042328
iters_sweep,5,3000,5,random,True,0.58932079747624,20.0,1,5,1311.2106277942657,1773774387.3780334
iters_sweep,5,3500,5,random,True,0.5954861782405331,40.0,2,5,1563.8975780010223,1773775951.3311136
iters_sweep,5,4000,5,random,True,0.6352148225622591,0.0,0,5,1766.775241136551,1773777718.1741765
iters_sweep,5,4500,5,random,True,0.595292503251415,0.0,0,5,1786.039611339569,1773779504.3096182
iters_sweep,5,5000,5,random,True,0.5951640187012832,20.0,1,5,1299.263109922409,1773780803.6276488
